instance,node_type,node_index,prediction,ground_truth
0,technology,0,34468.2109375,18535.78125
0,technology,1,17203.87109375,35437.94921875
0,technology,2,24625.158203125,22323.509765625
0,Flow,0,-4999.3271484375,-5000.0
1,technology,0,48830.01171875,41716.48828125
1,technology,1,399.5390319824219,580.9500122070312
1,technology,2,1539.07373046875,2237.85009765625
1,Flow,0,-4998.8330078125,5000.0
2,technology,0,12718.7265625,0.0
2,technology,1,24560.224609375,49009.8046875
2,technology,2,32382.333984375,20651.470703125
2,Flow,0,-4999.22998046875,-5000.0
3,technology,0,60456.07421875,51574.50390625
3,technology,1,0.0,0.0
3,technology,2,0.0,0.0
3,Flow,0,-4999.05517578125,5000.0
4,technology,0,38943.49609375,37972.96875
4,technology,1,11046.51171875,20139.599609375
4,technology,2,31504.822265625,23382.2578125
4,Flow,0,-4999.39794921875,-5000.0
5,technology,0,37188.046875,19427.3046875
5,technology,1,16329.966796875,31177.650390625
5,technology,2,20316.931640625,23230.00390625
5,Flow,0,-4999.28955078125,-5000.0
6,technology,0,39559.02734375,23117.99609375
6,technology,1,9602.6103515625,17234.849609375
6,technology,2,11083.212890625,19892.0
6,Flow,0,-4999.04736328125,-4627.97509765625
7,technology,0,64333.53125,54401.8984375
7,technology,1,0.0,0.0
7,technology,2,0.0,0.0
7,Flow,0,-4999.12890625,5000.0
8,technology,0,23952.314453125,0.0
8,technology,1,20643.69140625,36990.65234375
8,technology,2,11659.8359375,19265.18359375
8,Flow,0,-4998.96630859375,-5000.0
9,technology,0,27538.529296875,12685.7431640625
9,technology,1,5783.36669921875,14911.0498046875
9,technology,2,12344.7099609375,18069.81640625
9,Flow,0,-4998.70166015625,-5000.0
10,technology,0,29054.009765625,11651.501953125
10,technology,1,13788.28125,33695.1015625
10,technology,2,22995.591796875,20491.287109375
10,Flow,0,-4999.1572265625,-5000.0
11,technology,0,43005.515625,27317.60546875
11,technology,1,14309.98046875,23625.30078125
11,technology,2,9789.6591796875,16162.25
