instance,node_type,node_index,prediction,ground_truth
0,technology,0,34468.16015625,18535.78125
0,technology,1,17203.95703125,35437.94921875
0,technology,2,24625.123046875,22323.509765625
0,Flow,0,2509.81689453125,-5000.0
1,technology,0,48830.00390625,41716.48828125
1,technology,1,399.5463562011719,580.9500122070312
1,technology,2,1539.073486328125,2237.85009765625
1,Flow,0,2509.81689453125,5000.0
2,technology,0,12718.68359375,0.0
2,technology,1,24560.3515625,49009.8046875
2,technology,2,32382.2265625,20651.470703125
2,Flow,0,2509.81689453125,-5000.0
3,technology,0,60456.07421875,51574.50390625
3,technology,1,0.0,0.0
3,technology,2,0.0,0.0
3,Flow,0,2509.81689453125,5000.0
4,technology,0,38943.46875,37972.96875
4,technology,1,11046.5634765625,20139.599609375
4,technology,2,31504.80078125,23382.2578125
4,Flow,0,2509.81689453125,-5000.0
5,technology,0,37188.0,19427.3046875
5,technology,1,16330.0625,31177.650390625
5,technology,2,20316.904296875,23230.00390625
5,Flow,0,2509.81689453125,-5000.0
6,technology,0,39558.9453125,23117.99609375
6,technology,1,9602.7109375,17234.849609375
6,technology,2,11083.1904296875,19892.0
6,Flow,0,2509.81689453125,-4627.97509765625
7,technology,0,64333.53125,54401.8984375
7,technology,1,0.0,0.0
7,technology,2,0.0,0.0
7,Flow,0,2509.81689453125,5000.0
8,technology,0,23952.18359375,0.0
8,technology,1,20643.8828125,36990.65234375
8,technology,2,11659.771484375,19265.18359375
8,Flow,0,2509.81689453125,-5000.0
9,technology,0,27538.453125,12685.7431640625
9,technology,1,5783.482421875,14911.0498046875
9,technology,2,12344.6748046875,18069.81640625
9,Flow,0,2509.81689453125,-5000.0
10,technology,0,29053.951171875,11651.501953125
10,technology,1,13788.390625,33695.1015625
10,technology,2,22995.544921875,20491.287109375
10,Flow,0,2509.81689453125,-5000.0
11,technology,0,43005.4296875,27317.60546875
11,technology,1,14310.0869140625,23625.30078125
11,technology,2,9789.640625,16162.25
11,Flow,0,2509.81689453125,87.46888732910156
12,technology,0,46661.42578125,39676.0546875
12,technology,1,0.0,0.0
12,technology,2,0.0,0.0
12,Flow,0,2509.81689453125,5000.0
13,technology,0,54901.1953125,47139.74609375
13,technology,1,0.0,0.0
13,technology,2,0.0,0.0
13,Flow,0,2509.81689453125,5000.0
14,technology,0,60307.8828125,50534.9296875
14,technology,1,0.0,0.0
14,technology,2,0.0,0.0
14,Flow,0,2509.81689453125,5000.0
15,technology,0,21195.6953125,0.0
15,technology,1,16360.375,45849.7734375
15,technology,2,29246.509765625,20952.810546875
15,Flow,0,2509.81689453125,-5000.0
16,technology,0,63122.55859375,52807.46484375
16,technology,1,0.0,0.0
16,technology,2,0.0,0.0
16,Flow,0,2509.81689453125,5000.0
17,technology,0,22499.1015625,383.6516418457031
17,technology,1,14298.162109375,45120.44921875
17,technology,2,29547.896484375,20841.0546875
17,Flow,0,2509.81689453125,-5000.0
18,technology,0,44347.8671875,36575.78125
18,technology,1,5322.119140625,8520.599609375
18,technology,2,7610.25,12183.849609375
18,Flow,0,2509.81689453125,2749.0576171875
19,technology,0,45393.3515625,38694.6875
19,technology,1,0.0,0.0
19,technology,2,0.0,0.0
19,Flow,0,2509.81689453125,5000.0
20,technology,0,27330.3984375,0.0
20,technology,1,16175.7646484375,36817.5625
20,technology,2,12825.6953125,19514.296875
20,Flow,0,2509.81689453125,-5000.0
21,technology,0,42384.51171875,35266.96875
21,technology,1,0.0,0.0
21,technology,2,0.0,0.0
21,Flow,0,2509.81689453125,5000.0
22,technology,0,20444.1015625,0.0
22,technology,1,17006.97265625,59063.25
22,technology,2,38233.0859375,16620.90625
22,Flow,0,2509.81689453125,43.67237091064453
23,technology,0,71000.0,70153.359375
23,technology,1,0.0,0.0
23,technology,2,0.0,0.0
23,Flow,0,2509.81689453125,5000.0
24,technology,0,14081.3828125,0.0
24,technology,1,13557.484375,31943.56640625
24,technology,2,22635.396484375,18330.68359375
24,Flow,0,2509.81689453125,-5000.0
25,technology,0,71000.0,60722.296875
25,technology,1,0.0,0.0
25,technology,2,0.0,0.0
25,Flow,0,2509.81689453125,5000.0
26,technology,0,25434.50390625,0.0
26,technology,1,23100.779296875,48716.6328125
26,technology,2,21466.953125,21285.59765625
26,Flow,0,2509.81689453125,-5000.0
27,technology,0,70736.5,59348.3671875
27,technology,1,0.0,0.0
27,technology,2,0.0,0.0
27,Flow,0,2509.81689453125,5000.0
28,technology,0,41457.5390625,33961.5390625
28,technology,1,1017.6657104492188,1742.8499755859375
28,technology,2,290.3779296875,497.29998779296875
28,Flow,0,2509.81689453125,5000.0
29,technology,0,68754.9609375,59278.8984375
29,technology,1,0.0,0.0
29,technology,2,0.0,0.0
29,Flow,0,2509.81689453125,5000.0
30,technology,0,70279.125,59242.7890625
30,technology,1,0.0,0.0
30,technology,2,0.0,0.0
30,Flow,0,2509.81689453125,5000.0
31,technology,0,25333.296875,10999.830078125
31,technology,1,11746.2646484375,32920.5
31,technology,2,27503.21875,20662.455078125
31,Flow,0,2509.81689453125,-5000.0
32,technology,0,48160.12890625,40406.08984375
32,technology,1,6567.7529296875,9682.5
32,technology,2,9782.4072265625,14421.7001953125
32,Flow,0,2509.81689453125,891.3284301757812
33,technology,0,51298.67578125,46344.2890625
33,technology,1,3917.629150390625,5422.2001953125
33,technology,2,8982.6865234375,12432.5
33,Flow,0,2509.81689453125,2681.7998046875
34,technology,0,39929.6796875,33514.51953125
34,technology,1,0.0,0.0
34,technology,2,0.0,0.0
34,Flow,0,2509.81689453125,5000.0
35,technology,0,63552.71484375,53754.56640625
35,technology,1,0.0,0.0
35,technology,2,0.0,0.0
35,Flow,0,2509.81689453125,5000.0
36,technology,0,14972.1357421875,0.0
36,technology,1,17191.9453125,35171.9453125
36,technology,2,21865.021484375,18857.158203125
36,Flow,0,2509.81689453125,-5000.0
37,technology,0,60616.59375,51835.2421875
37,technology,1,495.9889221191406,580.9500122070312
37,technology,2,1698.289306640625,1989.199951171875
37,Flow,0,2509.81689453125,5000.0
38,technology,0,44255.15234375,36178.5625
38,technology,1,0.0,0.0
38,technology,2,0.0,0.0
38,Flow,0,2509.81689453125,5000.0
39,technology,0,28067.236328125,1382.685546875
39,technology,1,13473.22265625,34082.3984375
39,technology,2,12876.5966796875,18951.96875
39,Flow,0,2509.81689453125,-5000.0
40,technology,0,41587.39453125,33846.796875
40,technology,1,0.0,0.0
40,technology,2,0.0,0.0
40,Flow,0,2509.81689453125,5000.0
41,technology,0,26223.275390625,7355.0283203125
41,technology,1,7652.96826171875,20720.55078125
41,technology,2,12489.814453125,18290.482421875
41,Flow,0,2509.81689453125,-5000.0
42,technology,0,43191.99609375,36085.75390625
42,technology,1,0.0,0.0
42,technology,2,0.0,0.0
42,Flow,0,2509.81689453125,5000.0
43,technology,0,66997.90625,54932.546875
43,technology,1,0.0,0.0
43,technology,2,0.0,0.0
43,Flow,0,2509.81689453125,5000.0
44,technology,0,69422.609375,58978.99609375
44,technology,1,0.0,0.0
44,technology,2,0.0,0.0
44,Flow,0,2509.81689453125,5000.0
45,technology,0,48803.359375,42252.81640625
45,technology,1,5856.81494140625,8520.599609375
45,technology,2,8545.7431640625,12432.5
45,Flow,0,2509.81689453125,3125.331298828125
46,technology,0,17543.095703125,0.0
46,technology,1,4880.51416015625,15774.9638671875
46,technology,2,9031.37109375,15680.0146484375
46,Flow,0,2509.81689453125,-5000.0
47,technology,0,37216.546875,30515.23828125
47,technology,1,0.0,0.0
47,technology,2,0.0,0.0
47,Flow,0,2509.81689453125,5000.0
48,technology,0,38829.0703125,30617.615234375
48,technology,1,7625.15478515625,13942.7998046875
48,technology,2,18901.74609375,20795.5625
48,Flow,0,2509.81689453125,-5000.0
49,technology,0,62876.30078125,53063.32421875
49,technology,1,0.0,0.0
49,technology,2,0.0,0.0
49,Flow,0,2509.81689453125,5000.0
50,technology,0,15773.81640625,0.0
50,technology,1,13767.2080078125,19270.384765625
50,technology,2,6021.3427734375,16291.9833984375
50,Flow,0,2509.81689453125,-5000.0
51,technology,0,46834.73046875,38421.984375
51,technology,1,0.0,0.0
51,technology,2,0.0,0.0
51,Flow,0,2509.81689453125,5000.0
52,technology,0,39100.7890625,33089.71484375
52,technology,1,0.0,0.0
52,technology,2,0.0,0.0
52,Flow,0,2509.81689453125,5000.0
53,technology,0,22640.1640625,0.0
53,technology,1,30257.62109375,47749.2109375
53,technology,2,15936.970703125,21085.55078125
53,Flow,0,2509.81689453125,-5000.0
54,technology,0,64837.1875,62740.41015625
54,technology,1,1414.7293701171875,1549.199951171875
54,technology,2,9990.9541015625,10940.599609375
54,Flow,0,2509.81689453125,5000.0
55,technology,0,26298.36328125,2533.677001953125
55,technology,1,9468.0771484375,25561.80078125
55,technology,2,4512.8916015625,12183.849609375
55,Flow,0,2509.81689453125,-543.9889526367188
56,technology,0,54357.15234375,46191.35546875
56,technology,1,0.0,0.0
56,technology,2,0.0,0.0
56,Flow,0,2509.81689453125,5000.0
57,technology,0,55741.81640625,47195.08984375
57,technology,1,0.0,0.0
57,technology,2,0.0,0.0
57,Flow,0,2509.81689453125,5000.0
58,technology,0,18580.435546875,0.0
58,technology,1,19054.732421875,49902.953125
58,technology,2,33446.3828125,21178.58984375
58,Flow,0,2509.81689453125,-5000.0
59,technology,0,40492.1015625,34079.58203125
59,technology,1,0.0,0.0
59,technology,2,0.0,0.0
59,Flow,0,2509.81689453125,5000.0
60,technology,0,44266.65234375,37290.52734375
60,technology,1,0.0,0.0
60,technology,2,0.0,0.0
60,Flow,0,2509.81689453125,5000.0
