instance,operational_cost,loss_cost,objective_value,optimal_objective_value,feasible,mean_loss_load_over_demand,std_loss_load_over_demand,training_time,inference_time
0,2275.6667,174820.06640625,177095.73315429688,61303.6,True,0.8233879,0.35772568,21.02605390548706,
1,2274.3162,129833.859375,132108.17553710938,52487.53,True,1.153016,0.601498,21.02605390548706,
2,2279.126,84884.642578125,87163.7685546875,28302.473,True,0.19183506,0.7213659,21.02605390548706,
3,2274.2764,162606.33984375,164880.6162109375,65540.5,True,1.1330038,0.4985096,21.02605390548706,
4,2275.4036,201064.0078125,203339.41137695312,76068.8,True,0.8869286,0.43174136,21.02605390548706,
5,2275.3313,175809.99609375,178085.32739257812,63131.562,True,0.92342955,0.4104103,21.02605390548706,
6,2274.8672,144952.44140625,147227.30859375,53213.312,True,0.9927899,0.46266723,21.02605390548706,
7,2274.2764,175359.9140625,177634.1904296875,70431.92,True,1.1229945,0.46543434,21.02605390548706,
8,2275.8254,101675.19140625,103951.01684570312,33897.805,True,0.7949149,0.4173069,21.02605390548706,
9,2274.9734,94757.419921875,97032.39331054688,34616.207,True,0.97190386,0.6514936,21.02605390548706,
10,2275.605,141317.34375,143592.94873046875,50100.406,True,0.85894257,0.52439356,21.02605390548706,
11,2275.0708,159961.8046875,162236.87548828125,57712.863,True,0.90662336,0.28775588,21.02605390548706,
12,2274.2764,117386.40234375,119660.6787109375,47831.766,True,1.1844345,0.66107684,21.02605390548706,
13,2274.2764,143995.16015625,146269.4365234375,58320.05,True,1.158898,0.56608313,21.02605390548706,
14,2274.2764,161529.609375,163803.8857421875,64931.53,True,1.1454788,0.51562834,21.02605390548706,
15,2276.6833,112127.3671875,114404.05053710938,37383.066,True,0.6081101,0.50649923,21.02605390548706,
16,2274.2764,174802.2421875,177076.5185546875,70132.16,True,1.0803186,0.410651,21.02605390548706,
17,2276.253,124735.359375,127011.6123046875,43077.28,True,0.7461229,0.64411527,21.02605390548706,
18,2274.61,143654.109375,145928.71948242188,55759.812,True,1.0388805,0.47849467,21.02605390548706,
19,2274.2764,112476.75,114751.0263671875,45925.242,True,1.2185532,0.72010297,21.02605390548706,
20,2275.3633,118191.28125,120466.64453125,39403.258,True,0.9231686,0.5430406,21.02605390548706,
21,2274.2764,102824.15625,105098.4326171875,41980.43,True,1.2312855,0.76922095,21.02605390548706,
22,2277.247,138432.8203125,140710.0673828125,46152.562,True,0.5209363,0.59583473,21.02605390548706,
23,2274.2764,240833.203125,243107.4794921875,95927.75,True,1.0702657,0.32513857,21.02605390548706,
24,2277.0554,61764.703125,64041.758544921875,20593.71,True,0.4706764,0.72622406,21.02605390548706,
25,2274.2764,200519.671875,202793.9482421875,80192.26,True,1.1139817,0.4213462,21.02605390548706,
26,2276.1821,139161.9609375,141438.14306640625,46395.0,True,0.7564568,0.41553923,21.02605390548706,
27,2274.2764,194947.1953125,197221.4716796875,77975.53,True,1.1294347,0.44799325,21.02605390548706,
28,2274.3127,103473.8203125,105748.13305664062,41915.016,True,1.1970364,0.7263615,21.02605390548706,
29,2274.2764,194530.11328125,196804.3896484375,78191.11,True,1.0617108,0.3633522,21.02605390548706,
30,2274.2764,198108.4453125,200382.7216796875,79310.39,True,1.0748304,0.37349808,21.02605390548706,
31,2275.8574,131365.1484375,133641.005859375,47249.668,True,0.80006605,0.5949988,21.02605390548706,
32,2274.6272,167138.75390625,169413.38110351562,64946.23,True,1.0353867,0.4502868,21.02605390548706,
33,2274.5356,169066.125,171340.66064453125,66808.8,True,1.0466832,0.4478844,21.02605390548706,
34,2274.2764,95110.7578125,97385.0341796875,39035.547,True,1.2348393,0.8016141,21.02605390548706,
35,2274.2764,170408.7421875,172683.0185546875,68478.14,True,1.1700262,0.5349784,21.02605390548706,
36,2277.1702,64801.359375,67078.52954101562,21606.348,True,0.4519639,0.5688178,21.02605390548706,
37,2274.3132,169168.39453125,171442.70776367188,67821.555,True,1.1216958,0.48308912,21.02605390548706,
38,2274.2764,108462.83203125,110737.1083984375,44044.094,True,1.238407,0.76166207,21.02605390548706,
39,2275.4639,107928.62109375,110204.0849609375,35982.13,True,0.7978539,0.3664288,21.02605390548706,
40,2274.2764,99810.6328125,102084.9091796875,40650.41,True,1.2560148,0.81581265,21.02605390548706,
41,2275.098,91173.52734375,93448.62524414062,32052.48,True,0.99726206,0.70801806,21.02605390548706,
42,2274.2764,107857.39453125,110131.6708984375,43995.984,True,1.1435275,0.63782877,21.02605390548706,
43,2274.2764,185726.390625,188000.6669921875,74151.766,True,1.0968102,0.41618037,21.02605390548706,
44,2274.2764,191485.5234375,193759.7998046875,76779.766,True,1.1194571,0.4399868,21.02605390548706,
45,2274.5842,163280.390625,165554.97485351562,63916.516,True,1.0565418,0.4696356,21.02605390548706,
46,2275.1628,39846.3896484375,42121.552490234375,13285.481,True,1.0369917,1.0827725,21.02605390548706,
47,2274.2764,85315.546875,87589.8232421875,35060.234,True,1.313463,0.9518593,21.02605390548706,
48,2275.0063,157958.87109375,160233.87744140625,59510.016,True,0.9594715,0.47543526,21.02605390548706,
49,2274.2764,171351.90234375,173626.1787109375,68852.445,True,1.1144905,0.46001786,21.02605390548706,
50,2275.7698,36482.8623046875,38758.632080078125,12164.801,True,0.68003416,0.56909156,21.02605390548706,
51,2274.2764,117562.8984375,119837.1748046875,47616.887,True,1.1965792,0.6784111,21.02605390548706,
52,2274.2764,91658.1796875,93932.4560546875,37735.336,True,1.2818226,0.8767724,21.02605390548706,
53,2276.5916,120760.76953125,123037.36108398438,40261.066,True,0.6847756,0.30586138,21.02605390548706,
54,2274.4717,209202.328125,211476.7998046875,83424.375,True,1.0524963,0.38629282,21.02605390548706,
55,2274.8955,78940.482421875,81215.3779296875,26473.482,True,0.9894269,0.6395959,21.02605390548706,
56,2274.2764,142152.7734375,144427.0498046875,57502.227,True,1.1630157,0.5744838,21.02605390548706,
57,2274.2764,148028.3671875,150302.6435546875,59776.28,True,1.1297752,0.51927775,21.02605390548706,
58,2277.1755,126728.02734375,129005.20288085938,42250.527,True,0.5819558,0.684229,21.02605390548706,
59,2274.2764,96514.37109375,98788.6474609375,39597.523,True,1.251928,0.81840545,21.02605390548706,
60,2274.2764,109752.50390625,112026.7802734375,44780.05,True,1.1896902,0.6906953,21.02605390548706,
61,2274.2764,106855.74609375,109130.0224609375,43504.28,True,1.2519429,0.7834809,21.02605390548706,
62,2276.5952,80489.712890625,82766.30810546875,26835.836,True,0.6142065,0.6829939,21.02605390548706,
63,2274.2764,145293.85546875,147568.1318359375,58556.727,True,1.1441282,0.5430347,21.02605390548706,
64,2274.2764,121701.3046875,123975.5810546875,49309.72,True,1.1752197,0.6381996,21.02605390548706,
65,2274.8855,155874.9609375,158149.84643554688,58212.105,True,0.9956868,0.47556424,21.02605390548706,
66,2274.356,102867.609375,105141.96533203125,41725.984,True,1.1601366,0.6962345,21.02605390548706,
67,2275.6497,76864.353515625,79140.00317382812,25626.523,True,0.7217,0.4679549,21.02605390548706,
68,2277.4055,102412.01953125,104689.42504882812,34145.01,True,0.50585365,0.41454834,21.02605390548706,
69,2274.2764,163711.359375,165985.6357421875,65753.76,True,1.1267271,0.48737672,21.02605390548706,
70,2276.2517,109004.9296875,111281.18139648438,36341.723,True,0.63555723,0.29167244,21.02605390548706,
71,2276.1772,98524.1953125,100800.37255859375,33898.07,True,0.7004277,0.67349607,21.02605390548706,
72,2275.111,159791.484375,162066.59545898438,56944.53,True,0.9029846,0.28757584,21.02605390548706,
73,2274.7336,216321.2109375,218595.94458007812,80877.78,True,0.9900839,0.26129776,21.02605390548706,
74,2274.2764,232055.671875,234329.9482421875,92441.53,True,1.0652779,0.3259477,21.02605390548706,
75,2274.2764,115678.32421875,117952.6005859375,47175.05,True,1.1954262,0.680308,21.02605390548706,
76,2274.702,207020.6484375,209295.35034179688,80012.45,True,1.0043303,0.37907234,21.02605390548706,
77,2274.8125,160034.56640625,162309.37890625,61370.383,True,0.97598606,0.47878045,21.02605390548706,
78,2276.2278,119246.94140625,121523.16918945312,39756.043,True,0.6890859,0.4017374,21.02605390548706,
79,2277.8704,47510.9091796875,49788.779541015625,15842.33,True,0.2092287,0.73788375,21.02605390548706,
80,2277.0354,110944.1484375,113221.18383789062,36988.918,True,0.6115722,0.5629352,21.02605390548706,
81,2278.355,93957.2578125,96235.61279296875,31326.52,True,0.32435343,0.68419,21.02605390548706,
82,2275.6958,131001.76171875,133277.45751953125,44375.816,True,0.7860295,0.4464912,21.02605390548706,
83,2275.0493,168315.7265625,170590.77587890625,60384.84,True,0.92732185,0.3400044,21.02605390548706,
84,2274.2764,111936.7265625,114211.0029296875,45526.164,True,1.2022104,0.7012655,21.02605390548706,
85,2274.2764,154827.41015625,157101.6865234375,62292.695,True,1.1518868,0.5354027,21.02605390548706,
86,2274.2764,177746.26171875,180020.5380859375,71115.59,True,1.1173878,0.45379907,21.02605390548706,
87,2274.3281,220396.265625,222670.59375,87516.63,True,1.04858,0.31377447,21.02605390548706,
88,2274.2764,115438.25390625,117712.5302734375,46838.414,True,1.1738038,0.6543492,21.02605390548706,
89,2278.2344,97690.78125,99969.015625,32571.078,True,0.33661124,0.66528195,21.02605390548706,
90,2274.2764,101982.28125,104256.5576171875,41665.195,True,1.2473078,0.7931164,21.02605390548706,
91,2275.3396,208800.4921875,211075.83178710938,77467.484,True,0.8836208,0.34874892,21.02605390548706,
92,2275.7148,184731.05859375,187006.7734375,69364.21,True,0.8241568,0.47656596,21.02605390548706,
93,2274.2764,162706.1015625,164980.3779296875,65556.67,True,1.1491338,0.51951027,21.02605390548706,
94,2274.2764,245198.53125,247472.8076171875,97521.42,True,1.0755434,0.3278404,21.02605390548706,
95,2278.5432,96164.900390625,98443.44360351562,32062.76,True,0.31518707,0.60962653,21.02605390548706,
96,2275.7727,82798.107421875,85073.88012695312,27604.762,True,0.8552918,0.58061457,21.02605390548706,
97,2274.2764,78211.23046875,80485.5068359375,32189.258,True,1.2603399,0.92501336,21.02605390548706,
98,2276.099,169808.30859375,172084.40771484375,60810.594,True,0.7576669,0.4692142,21.02605390548706,
99,2274.2869,104961.4921875,107235.77905273438,42622.363,True,1.1281978,0.6291993,21.02605390548706,
100,2274.2937,198042.703125,200316.99682617188,79112.24,True,1.0757904,0.3788624,21.02605390548706,
101,2277.784,124424.37890625,126702.16284179688,41482.81,True,0.49312702,0.76929945,21.02605390548706,
102,2274.2764,189544.3359375,191818.6123046875,75991.03,True,1.0853211,0.39751697,21.02605390548706,
103,2274.2764,108814.04296875,111088.3193359375,44087.684,True,1.250432,0.7781701,21.02605390548706,
104,2274.7969,223160.390625,225435.1875,85335.39,True,0.9764289,0.28940973,21.02605390548706,
105,2274.536,118339.18359375,120613.71948242188,46096.344,True,1.0589176,0.5407817,21.02605390548706,
106,2274.2764,181924.359375,184198.6357421875,72803.64,True,1.1081518,0.43609083,21.02605390548706,
107,2274.984,195574.453125,197849.43701171875,71892.78,True,0.989162,0.3543555,21.02605390548706,
108,2276.3296,139384.2890625,141660.61865234375,46469.266,True,0.79280657,0.50067365,21.02605390548706,
109,2274.2764,231822.6796875,234096.9560546875,92486.94,True,1.0716131,0.33509633,21.02605390548706,
110,2277.1018,89614.74609375,91891.84790039062,29878.018,True,0.5480344,0.766716,21.02605390548706,
111,2276.9333,86005.98046875,88282.91381835938,28674.932,True,0.5195089,0.66416067,21.02605390548706,
112,2278.655,90832.8515625,93111.50659179688,30285.068,True,0.24539171,0.687697,21.02605390548706,
113,2274.2764,154217.28515625,156491.5615234375,62063.805,True,1.131987,0.51040447,21.02605390548706,
114,2274.2764,181852.3125,184126.5888671875,72916.55,True,1.0884727,0.41123208,21.02605390548706,
115,2274.2764,77451.908203125,79726.1845703125,31949.814,True,1.3315902,1.0190809,21.02605390548706,
116,2276.9336,139566.2578125,141843.19140625,46530.426,True,0.6526455,0.60285884,21.02605390548706,
117,2274.4348,84100.69921875,86375.13403320312,33181.586,True,1.1357352,0.72684884,21.02605390548706,
118,2274.2764,120824.5078125,123098.7841796875,49003.094,True,1.2134991,0.69060785,21.02605390548706,
119,2274.2764,139702.6171875,141976.8935546875,56458.914,True,1.1527008,0.5656616,21.02605390548706,
120,2274.2764,134272.53515625,136546.8115234375,54466.0,True,1.1671511,0.59674466,21.02605390548706,
121,2274.2764,138653.953125,140928.2294921875,56213.625,True,1.1529772,0.56889343,21.02605390548706,
122,2275.6042,141020.3203125,143295.92456054688,47013.938,True,0.8629737,0.4228474,21.02605390548706,
123,2274.2917,213640.78125,215915.07299804688,85264.73,True,1.0689937,0.34825924,21.02605390548706,
124,2274.2764,94705.6171875,96979.8935546875,38791.16,True,1.2041858,0.76519406,21.02605390548706,
125,2274.2764,144752.7421875,147027.0185546875,58334.633,True,1.1467615,0.54755795,21.02605390548706,
126,2277.4639,64470.3046875,66747.7685546875,21496.367,True,0.45802584,0.53176737,21.02605390548706,
127,2274.2993,123700.74609375,125975.04541015625,50053.62,True,1.1685435,0.6315516,21.02605390548706,
128,2277.2507,126045.28125,128322.53198242188,42023.094,True,0.60435635,0.667785,21.02605390548706,
129,2275.2578,115445.7890625,117721.046875,38487.9,True,0.8577346,0.38054875,21.02605390548706,
130,2276.0078,77636.80078125,79912.80859375,25884.39,True,0.7206127,0.62660766,21.02605390548706,
131,2188.7478,38342.5078125,40531.255615234375,12786.189,False,0.02366662,1.0218745,21.02605390548706,
132,2274.2874,140954.61328125,143228.90063476562,57040.914,True,1.1171502,0.51703227,21.02605390548706,
133,2274.9724,190954.359375,193229.33178710938,70359.63,True,0.9296078,0.30351433,21.02605390548706,
134,2277.1523,111520.59375,113797.74609375,37180.76,True,0.56371003,0.7326883,21.02605390548706,
135,2275.1074,118545.4921875,120820.599609375,42751.58,True,0.9085185,0.52415055,21.02605390548706,
136,2274.912,54960.09375,57235.005859375,18323.637,True,1.1139907,0.97620946,21.02605390548706,
137,2274.8347,96847.23046875,99122.06518554688,34356.3,True,0.9922855,0.5653411,21.02605390548706,
138,2274.2764,144040.640625,146314.9169921875,58385.3,True,1.1439098,0.5466596,21.02605390548706,
139,2274.6772,226453.6171875,228728.29443359375,87296.6,True,0.9920602,0.283755,21.02605390548706,
140,2274.2764,93309.50390625,95583.7802734375,38231.09,True,1.2687515,0.8555429,21.02605390548706,
141,2274.7673,97889.4140625,100164.18139648438,35579.43,True,1.0249448,0.6299255,21.02605390548706,
